Location Name,Location Thumbnail Url
Lateria Observatory,![Lateria Observatory](https://static.wikia.nocookie.net/nexomon/images/f/f6/Lateria_Observatory.png/revision/latest/smart/width/40/height/30?cb=20240326001210)
Lateria Prison,![Lateria Prison](https://static.wikia.nocookie.net/nexomon/images/3/37/Lateria_Prison.png/revision/latest/smart/width/40/height/30?cb=20240326000806)
Lateria Prison South,![Lateria Prison South](https://static.wikia.nocookie.net/nexomon/images/a/a9/Lateria_Prison_South.png/revision/latest/smart/width/40/height/30?cb=20240326000651)
Lateria Shops,![Lateria Shops](https://static.wikia.nocookie.net/nexomon/images/7/74/Lateria_Shops.png/revision/latest/smart/width/40/height/30?cb=20240325234453)
Lateria Shops South,![Lateria Shops South](https://static.wikia.nocookie.net/nexomon/images/a/ac/Lateria_Shops_South.png/revision/latest/smart/width/40/height/30?cb=20240326001529)
Lateria Western Entrance,![Lateria Western Entrance](https://static.wikia.nocookie.net/nexomon/images/8/87/Lateria_Western_Entrance.png/revision/latest/smart/width/40/height/30?cb=20240325234040)
Logan's House,![Logan's House](https://static.wikia.nocookie.net/nexomon/images/b/b3/Logan%27s_House.png/revision/latest/smart/width/40/height/30?cb=20240325143815)
Logan's House South,![Logan's House South](https://static.wikia.nocookie.net/nexomon/images/1/1e/Logan%27s_House_South.png/revision/latest/smart/width/40/height/30?cb=20240325144504)
Magic Shop,![Magic Shop](https://static.wikia.nocookie.net/nexomon/images/4/4a/Magic_Shop.png/revision/latest/smart/width/40/height/30?cb=20240324160122)
Mandrasses Cemetery,![Mandrasses Cemetery](https://static.wikia.nocookie.net/nexomon/images/8/84/Mandrasses_Cemetery.png/revision/latest/smart/width/40/height/30?cb=20240324155733)
Mega Arena of Doom,![Mega Arena of Doom](https://static.wikia.nocookie.net/nexomon/images/f/f8/Mega_Arena_of_Doom.png/revision/latest/smart/width/40/height/30?cb=20240325143012)
Mega Arena of Doom East,![Mega Arena of Doom East](https://static.wikia.nocookie.net/nexomon/images/3/37/Mega_Arena_of_Doom_East.png/revision/latest/smart/width/40/height/30?cb=20240325142844)
Merida Prison Big Puddle,![Merida Prison Big Puddle](https://static.wikia.nocookie.net/nexomon/images/5/5d/Merida_Prison_Big_Puddle.png/revision/latest/smart/width/40/height/30?cb=20240920210452)
Merida Prison Camp,![Merida Prison Camp](https://static.wikia.nocookie.net/nexomon/images/2/23/Merida_Prison_Camp.png/revision/latest/smart/width/40/height/30?cb=20240920205112)
Merida Prison Columns,![Merida Prison Columns](https://static.wikia.nocookie.net/nexomon/images/e/e5/Merida_Prison_Columns.png/revision/latest/smart/width/40/height/30?cb=20240920210652)
Merida Prison Exit,![Merida Prison Exit](https://static.wikia.nocookie.net/nexomon/images/6/6d/Merida_Prison_Exit.png/revision/latest/smart/width/40/height/30?cb=20240920210847)
Merida Prison Houses,![Merida Prison Houses](https://static.wikia.nocookie.net/nexomon/images/3/34/Merida_Prison_Houses.png/revision/latest/smart/width/40/height/30?cb=20240920205713)
Merida Prison Puddles,![Merida Prison Puddles](https://static.wikia.nocookie.net/nexomon/images/b/b1/Merida_Prison_Puddles.png/revision/latest/smart/width/40/height/30?cb=20240920210125)
Merida Prison River,![Merida Prison River](https://static.wikia.nocookie.net/nexomon/images/4/40/Merida_Prison_River.png/revision/latest/smart/width/40/height/30?cb=20240920205917)
Merida Prison Teal Trees,![Merida Prison Teal Trees](https://static.wikia.nocookie.net/nexomon/images/3/3f/Merida_Prison_Teal_Trees.png/revision/latest/smart/width/40/height/30?cb=20240920210314)
Merida Prison Water Arch,![Merida Prison Water Arch](https://static.wikia.nocookie.net/nexomon/images/c/c6/Merida_Prison_Water_Arch.png/revision/latest/smart/width/40/height/30?cb=20240920205502)
Mountain Border,![Mountain Border](https://static.wikia.nocookie.net/nexomon/images/4/4c/Mountain_Border.png/revision/latest/smart/width/40/height/30?cb=20231123115816)
Mountain Crossroads,![Mountain Crossroads](https://static.wikia.nocookie.net/nexomon/images/4/45/Mountain_Crossroads.png/revision/latest/smart/width/40/height/30?cb=20231123092300)
Mountain Fall,![Mountain Fall](https://static.wikia.nocookie.net/nexomon/images/a/a5/Mountain_Fall.png/revision/latest/smart/width/40/height/30?cb=20231123091208)
Mountain Passage,![Mountain Passage](https://static.wikia.nocookie.net/nexomon/images/4/49/Mountain_Passage.png/revision/latest/smart/width/40/height/30?cb=20231120100816)
Mountain Village,![Mountain Village](https://static.wikia.nocookie.net/nexomon/images/f/f5/Mountain_Village.png/revision/latest/smart/width/40/height/30?cb=20231122154958)
Mountain Village Totem,![Mountain Village Totem](https://static.wikia.nocookie.net/nexomon/images/f/fb/Mountain_Village_Totem.png/revision/latest/smart/width/40/height/30?cb=20231120223125)
Mt. Village Canyon,![Mt. Village Canyon](https://static.wikia.nocookie.net/nexomon/images/f/f4/Mt._Village_Canyon.png/revision/latest/smart/width/40/height/30?cb=20231123075431)
Nadine Prison Bifurcation,![Nadine Prison Bifurcation](https://static.wikia.nocookie.net/nexomon/images/8/8b/Nadine_Prison_Bifurcation.png/revision/latest/smart/width/40/height/30?cb=20240922210448)
Nadine Prison Bridges,![Nadine Prison Bridges](https://static.wikia.nocookie.net/nexomon/images/1/1d/Nadine_Prison_Bridges.png/revision/latest/smart/width/40/height/30?cb=20240922211545)
Nadine Prison Camp,![Nadine Prison Camp](https://static.wikia.nocookie.net/nexomon/images/2/23/Nadine_Prison_Camp.png/revision/latest/smart/width/40/height/30?cb=20240922210002)
Nadine Prison Curly Branch,![Nadine Prison Curly Branch](https://static.wikia.nocookie.net/nexomon/images/6/62/Nadine_Prison_Curly_Branch.png/revision/latest/smart/width/40/height/30?cb=20240922211303)
Nadine Prison East,![Nadine Prison East](https://static.wikia.nocookie.net/nexomon/images/8/87/Nadine_Prison_East.png/revision/latest/smart/width/40/height/30?cb=20240922210106)
Nadine Prison Exit,![Nadine Prison Exit](https://static.wikia.nocookie.net/nexomon/images/3/36/Nadine_Prison_Exit.png/revision/latest/smart/width/40/height/30?cb=20240922211702)
Nadine Prison House,![Nadine Prison House](https://static.wikia.nocookie.net/nexomon/images/b/b5/Nadine_Prison_House.png/revision/latest/smart/width/40/height/30?cb=20240922210821)
Nadine Prison Ladder,![Nadine Prison Ladder](https://static.wikia.nocookie.net/nexomon/images/1/1e/Nadine_Prison_Ladder.png/revision/latest/smart/width/40/height/30?cb=20240922211430)
Nadine Prison Ruins,![Nadine Prison Ruins](https://static.wikia.nocookie.net/nexomon/images/f/ff/Nadine_Prison_Ruins.png/revision/latest/smart/width/40/height/30?cb=20240922211032)
Nadine Prison Stone,![Nadine Prison Stone](https://static.wikia.nocookie.net/nexomon/images/7/70/Nadine_Prison_Stone.png/revision/latest/smart/width/40/height/30?cb=20240922210635)
NexoGuard Camp,![NexoGuard Camp](https://static.wikia.nocookie.net/nexomon/images/b/b3/NexoGuard_Camp.png/revision/latest/smart/width/40/height/30?cb=20231127150051)
Nexolord Cemetery,![Nexolord Cemetery](https://static.wikia.nocookie.net/nexomon/images/6/64/Nexolord_Cemetery.png/revision/latest/smart/width/40/height/30?cb=20240324155918)
Nexolord Tower,![Nexolord Tower](https://static.wikia.nocookie.net/nexomon/images/4/42/Nexolord_Tower.png/revision/latest/smart/width/40/height/30?cb=20231128130343)
Nexolord Tower Road,![Nexolord Tower Road](https://static.wikia.nocookie.net/nexomon/images/9/9e/Nexolord_Tower_Road.png/revision/latest/smart/width/40/height/30?cb=20231128113805)
Nexolord Tower Totem,![Nexolord Tower Totem](https://static.wikia.nocookie.net/nexomon/images/b/bc/Nexolord_Tower_Totem.png/revision/latest/smart/width/40/height/30?cb=20231128115032)
Nexonium Cave,![Nexonium Cave](https://static.wikia.nocookie.net/nexomon/images/e/e6/Nexonium_Cave.png/revision/latest/smart/width/40/height/30?cb=20231127224641)
North of Haunted Woods Bridge,![North of Haunted Woods Bridge](https://static.wikia.nocookie.net/nexomon/images/b/bb/North_of_Haunted_Woods_Bridge.png/revision/latest/smart/width/40/height/30?cb=20240324160230)
Old Port,![Old Port](https://static.wikia.nocookie.net/nexomon/images/5/58/Old_Port.png/revision/latest/smart/width/40/height/30?cb=20231124195745)
Old Port Road,![Old Port Road](https://static.wikia.nocookie.net/nexomon/images/a/af/Old_Port_Road.png/revision/latest/smart/width/40/height/30?cb=20231124193608)
Orphanage,![Orphanage](https://static.wikia.nocookie.net/nexomon/images/9/9b/Orphanage.png/revision/latest/smart/width/40/height/30?cb=20240324153643)
Orphanage East,![Orphanage East](https://static.wikia.nocookie.net/nexomon/images/7/73/Orphanage_East.png/revision/latest/smart/width/40/height/30?cb=20240324154545)
Orphanage South,![Orphanage South](https://static.wikia.nocookie.net/nexomon/images/f/f7/Orphanage_South.png/revision/latest/smart/width/40/height/30?cb=20240324154830)
Orphanage Western Camp,![Orphanage Western Camp](https://static.wikia.nocookie.net/nexomon/images/4/40/Orphanage_Western_Camp.png/revision/latest/smart/width/40/height/30?cb=20240324153743)
Outlands Camp,![Outlands Camp](https://static.wikia.nocookie.net/nexomon/images/5/59/Outlands_Camp.png/revision/latest/smart/width/40/height/30?cb=20240325162826)
Outlands Eastern Cave - B1,![Outlands Eastern Cave - B1](https://static.wikia.nocookie.net/nexomon/images/6/67/Outlands_Eastern_Cave_-_B1.png/revision/latest/smart/width/40/height/30?cb=20240325164033)
Outlands Eastern Cave - B1 West,![Outlands Eastern Cave - B1 West](https://static.wikia.nocookie.net/nexomon/images/c/cd/Outlands_Eastern_Cave_-_B1_West.png/revision/latest/smart/width/40/height/30?cb=20240325171148)
Outlands Eastern Cave - B2,![Outlands Eastern Cave - B2](https://static.wikia.nocookie.net/nexomon/images/e/e2/Outlands_Eastern_Cave_-_B2.png/revision/latest/smart/width/40/height/30?cb=20240325164548)
Outlands Eastern Cave - B2 East,![Outlands Eastern Cave - B2 East](https://static.wikia.nocookie.net/nexomon/images/1/11/Outlands_Eastern_Cave_-_B2_East.png/revision/latest/smart/width/40/height/30?cb=20240325164706)
Outlands Eastern Cave - Entrance,![Outlands Eastern Cave - Entrance](https://static.wikia.nocookie.net/nexomon/images/4/4f/Outlands_Eastern_Cave_-_Entrance.png/revision/latest/smart/width/40/height/30?cb=20240325164057)
Outlands Eastern Cave Outside,![Outlands Eastern Cave Outside](https://static.wikia.nocookie.net/nexomon/images/d/d8/Outlands_Eastern_Cave_Outside.png/revision/latest/smart/width/40/height/30?cb=20240325163620)
Outlands Southern Cave - East,![Outlands Southern Cave - East](https://static.wikia.nocookie.net/nexomon/images/4/47/Outlands_Southern_Cave_-_East.png/revision/latest/smart/width/40/height/30?cb=20240325165922)
Outlands Southern Cave - Eastern End,![Outlands Southern Cave - Eastern End](https://static.wikia.nocookie.net/nexomon/images/6/65/Outlands_Southern_Cave_-_Eastern_End.png/revision/latest/smart/width/40/height/30?cb=20240325170122)
Outlands Southern Cave - Entrance,![Outlands Southern Cave - Entrance](https://static.wikia.nocookie.net/nexomon/images/6/65/Outlands_Southern_Cave_-_Entrance.png/revision/latest/smart/width/40/height/30?cb=20240325165513)
Outlands Southern Cave - West,![Outlands Southern Cave - West](https://static.wikia.nocookie.net/nexomon/images/6/63/Outlands_Southern_Cave_-_West.png/revision/latest/smart/width/40/height/30?cb=20240325165640)
Outlands Southern Cave - Western End,![Outlands Southern Cave - Western End](https://static.wikia.nocookie.net/nexomon/images/0/01/Outlands_Southern_Cave_-_Western_End.png/revision/latest/smart/width/40/height/30?cb=20240325165744)
Outlands Southern Cave Outside,![Outlands Southern Cave Outside](https://static.wikia.nocookie.net/nexomon/images/5/50/Outlands_Southern_Cave_Outside.png/revision/latest/smart/width/40/height/30?cb=20240325165334)
Outskirts Bridge,![Outskirts Bridge](https://static.wikia.nocookie.net/nexomon/images/f/f7/Outskirts_Bridge.png/revision/latest/smart/width/40/height/30?cb=20240610185610)
Outskirts Bridge East,![Outskirts Bridge East](https://static.wikia.nocookie.net/nexomon/images/5/5b/Outskirts_Bridge_East.png/revision/latest/smart/width/40/height/30?cb=20240324154748)
Outskirts Bridge West,![Outskirts Bridge West](https://static.wikia.nocookie.net/nexomon/images/d/d1/Outskirts_Bridge_West.png/revision/latest/smart/width/40/height/30?cb=20240324154616)
Outskirts Cave - East,![Outskirts Cave - East](https://static.wikia.nocookie.net/nexomon/images/f/f9/Outskirts_Cave_-_East.png/revision/latest/smart/width/40/height/30?cb=20240325132000)
Outskirts Cave - Entrance,![Outskirts Cave - Entrance](https://static.wikia.nocookie.net/nexomon/images/3/3f/Outskirts_Cave_-_Entrance.png/revision/latest/smart/width/40/height/30?cb=20240325131735)
Outskirts Cave - North,![Outskirts Cave - North](https://static.wikia.nocookie.net/nexomon/images/0/0c/Outskirts_Cave_-_North.png/revision/latest/smart/width/40/height/30?cb=20240325131934)
Outskirts Cave - West,![Outskirts Cave - West](https://static.wikia.nocookie.net/nexomon/images/9/9f/Outskirts_Cave_-_West.png/revision/latest/smart/width/40/height/30?cb=20240325131830)
Outskirts Outside Cave,![Outskirts Outside Cave](https://static.wikia.nocookie.net/nexomon/images/2/29/Outskirts_Outside_Cave.png/revision/latest/smart/width/40/height/30?cb=20240325131655)
Outskirts Submarine,![Outskirts Submarine](https://static.wikia.nocookie.net/nexomon/images/7/7f/Outskirts_Submarine.png/revision/latest/smart/width/40/height/30?cb=20240325132130)
Palmaya Beach,![Palmaya Beach](https://static.wikia.nocookie.net/nexomon/images/6/67/Palmaya_Beach.png/revision/latest/smart/width/40/height/30?cb=20231125101405)
Palmaya Boardwalk,![Palmaya Boardwalk](https://static.wikia.nocookie.net/nexomon/images/8/8f/Palmaya_Boardwalk.png/revision/latest/smart/width/40/height/30?cb=20231125102745)
Palmaya Crossroads,![Palmaya Crossroads](https://static.wikia.nocookie.net/nexomon/images/a/a2/Palmaya_Crossroads.png/revision/latest/smart/width/40/height/30?cb=20240326011210)
Palmaya Dragon Summoning Spot,![Palmaya Dragon Summoning Spot](https://static.wikia.nocookie.net/nexomon/images/3/37/Palmaya_Dragon_Summoning_Spot.png/revision/latest/smart/width/40/height/30?cb=20240326011514)
Palmaya Fishing Hole,![Palmaya Fishing Hole](https://static.wikia.nocookie.net/nexomon/images/4/43/Palmaya_Fishing_Hole.png/revision/latest/smart/width/40/height/30?cb=20231125122556)
Palmaya Northwest Corner,![Palmaya Northwest Corner](https://static.wikia.nocookie.net/nexomon/images/9/9d/Palmaya_Northwest_Corner.png/revision/latest/smart/width/40/height/30?cb=20240326010501)
Palmaya Port,![Palmaya Port](https://static.wikia.nocookie.net/nexomon/images/a/af/Palmaya_Port.png/revision/latest/smart/width/40/height/30?cb=20240326005319)
Palmaya Port South,![Palmaya Port South](https://static.wikia.nocookie.net/nexomon/images/7/78/Palmaya_Port_South.png/revision/latest/smart/width/40/height/30?cb=20240326005445)
Palmaya Port Southeast,![Palmaya Port Southeast](https://static.wikia.nocookie.net/nexomon/images/a/a1/Palmaya_Port_Southeast.png/revision/latest/smart/width/40/height/30?cb=20240326005706)
Palmaya Shops,![Palmaya Shops](https://static.wikia.nocookie.net/nexomon/images/8/8f/Palmaya_Shops.png/revision/latest/smart/width/40/height/30?cb=20240326010026)
Palmaya Shops South,![Palmaya Shops South](https://static.wikia.nocookie.net/nexomon/images/f/fd/Palmaya_Shops_South.png/revision/latest/smart/width/40/height/30?cb=20240326005852)
Palmaya Southern Entrance,![Palmaya Southern Entrance](https://static.wikia.nocookie.net/nexomon/images/9/9a/Palmaya_Southern_Entrance.png/revision/latest/smart/width/40/height/30?cb=20240326011404)
Palmaya Trapmaker's House,![Palmaya Trapmaker's House](https://static.wikia.nocookie.net/nexomon/images/f/f7/Palmaya_Trapmaker%27s_House.png/revision/latest/smart/width/40/height/30?cb=20240326010827)
Palmaya Trapmaker's House East,![Palmaya Trapmaker's House East](https://static.wikia.nocookie.net/nexomon/images/b/bf/Palmaya_Trapmaker%27s_House_East.png/revision/latest/smart/width/40/height/30?cb=20240326010946)
Palmaya Trapmaker's House North,![Palmaya Trapmaker's House North](https://static.wikia.nocookie.net/nexomon/images/d/d2/Palmaya_Trapmaker%27s_House_North.png/revision/latest/smart/width/40/height/30?cb=20240326010646)
Palmaya Western Entrance,![Palmaya Western Entrance](https://static.wikia.nocookie.net/nexomon/images/a/a0/Palmaya_Western_Entrance.png/revision/latest/smart/width/40/height/30?cb=20240326010322)
Parum City Center,![Parum City Center](https://static.wikia.nocookie.net/nexomon/images/6/61/Parum_City_Center.png/revision/latest/smart/width/40/height/30?cb=20240325124417)
Parum City East,![Parum City East](https://static.wikia.nocookie.net/nexomon/images/1/15/Parum_City_East.png/revision/latest/smart/width/40/height/30?cb=20240325125047)
Parum City Guild,![Parum City Guild](https://static.wikia.nocookie.net/nexomon/images/a/a0/Parum_City_Guild.png/revision/latest/smart/width/40/height/30?cb=20240325124658)
Parum City Laboratories,![Parum City Laboratories](https://static.wikia.nocookie.net/nexomon/images/5/57/Parum_City_Laboratories.png/revision/latest/smart/width/40/height/30?cb=20240325125637)
Parum City Laboratories East,![Parum City Laboratories East](https://static.wikia.nocookie.net/nexomon/images/9/9b/Parum_City_Laboratories_East.png/revision/latest/smart/width/40/height/30?cb=20240325125841)
Parum City Northern Entrance,![Parum City Northern Entrance](https://static.wikia.nocookie.net/nexomon/images/b/b3/Parum_City_Northern_Entrance.png/revision/latest/smart/width/40/height/30?cb=20240325130615)
Parum City Outside Airship Hangar,![Parum City Outside Airship Hangar](https://static.wikia.nocookie.net/nexomon/images/5/54/Parum_City_Outside_Airship_Hangar.png/revision/latest/smart/width/40/height/30?cb=20240325125202)
Parum City Southern Entrance,![Parum City Southern Entrance](https://static.wikia.nocookie.net/nexomon/images/c/c8/Parum_Southern_Entrance.png/revision/latest/smart/width/40/height/30?cb=20240325123207)
Parum City Submarine,![Parum City Submarine](https://static.wikia.nocookie.net/nexomon/images/b/bb/Parum_City_Submarine.png/revision/latest/smart/width/40/height/30?cb=20240325130730)
Parum City West,![Parum City West](https://static.wikia.nocookie.net/nexomon/images/6/64/Parum_City_West.png/revision/latest/smart/width/40/height/30?cb=20240325125550)
Parum River,![Parum River](https://static.wikia.nocookie.net/nexomon/images/a/a2/Parum_River.png/revision/latest/smart/width/40/height/30?cb=20231117190203)
Parum Totem,![Parum Totem](https://static.wikia.nocookie.net/nexomon/images/6/65/Parum_Totem.png/revision/latest/smart/width/40/height/30?cb=20231117190415)
Parum Town,![Parum Town](https://static.wikia.nocookie.net/nexomon/images/7/73/Parum_Town.png/revision/latest/smart/width/40/height/30?cb=20231117172833)
Path to Dock,![Path to Dock](https://static.wikia.nocookie.net/nexomon/images/c/c8/Path_to_Dock.png/revision/latest/smart/width/40/height/30?cb=20240324153813)
Path to Mountain Village,![Path to Mountain Village](https://static.wikia.nocookie.net/nexomon/images/c/ce/Path_to_Mountain_Village.png/revision/latest/smart/width/40/height/30?cb=20231120230435)
Phantom Bridge,![Phantom Bridge](https://static.wikia.nocookie.net/nexomon/images/a/a5/Phantom_Bridge.png/revision/latest/smart/width/40/height/30?cb=20231124182928)
Phantom Citadel,![Phantom Citadel](https://static.wikia.nocookie.net/nexomon/images/0/07/Phantom_Citadel.png/revision/latest/smart/width/40/height/30?cb=20231124191603)
Phantom Citadel Totem,![Phantom Citadel Totem](https://static.wikia.nocookie.net/nexomon/images/a/a1/Phantom_Citadel_Totem.png/revision/latest/smart/width/40/height/30?cb=20231124174213)
Player's Home,![Player's Home](https://static.wikia.nocookie.net/nexomon/images/b/b5/Player%27s_Home.png/revision/latest/smart/width/40/height/30?cb=20231117190928)
Pluvean Cave - Room 1,![Pluvean Cave - Room 1](https://static.wikia.nocookie.net/nexomon/images/9/97/Pluvean_Cave_-_Room_1.png/revision/latest/smart/width/40/height/30?cb=20240327183333)
Pluvean Cave - Room 2,![Pluvean Cave - Room 2](https://static.wikia.nocookie.net/nexomon/images/3/3d/Pluvean_Cave_-_Room_2.png/revision/latest/smart/width/40/height/30?cb=20240327183319)
Pluvean Cave - Room 3,![Pluvean Cave - Room 3](https://static.wikia.nocookie.net/nexomon/images/4/40/Pluvean_Cave_-_Room_3.png/revision/latest/smart/width/40/height/30?cb=20240327183304)
Pluvean Cave Northeast,![Pluvean Cave Northeast](https://static.wikia.nocookie.net/nexomon/images/a/a9/Pluvean_Cave_Northeast.png/revision/latest/smart/width/40/height/30?cb=20240327183637)
Pluvean Cave Outside,![Pluvean Cave Outside](https://static.wikia.nocookie.net/nexomon/images/a/a9/Pluvean_Cave_Outside.png/revision/latest/smart/width/40/height/30?cb=20240327183347)
Pluvean Cave Southeast,![Pluvean Cave Southeast](https://static.wikia.nocookie.net/nexomon/images/a/a4/Pluvean_Cave_Southeast.png/revision/latest/smart/width/40/height/30?cb=20240327183619)
Pluvean Location,![Pluvean Location](https://static.wikia.nocookie.net/nexomon/images/b/b5/Pluvean_Location.png/revision/latest/smart/width/40/height/30?cb=20240327183248)
Precursor Valley Basecamp,![Precursor Valley Basecamp](https://static.wikia.nocookie.net/nexomon/images/7/7f/Precursor_Valley_Basecamp.png/revision/latest/smart/width/40/height/30?cb=20240327184102)
Precursor Valley Basecamp East,![Precursor Valley Basecamp East](https://static.wikia.nocookie.net/nexomon/images/a/a5/Precursor_Valley_Basecamp_East.png/revision/latest/smart/width/40/height/30?cb=20240327185458)
Precursor Valley Basecamp South,![Precursor Valley Basecamp South](https://static.wikia.nocookie.net/nexomon/images/d/de/Precursor_Valley_Basecamp_South.png/revision/latest/smart/width/40/height/30?cb=20240327185642)
Precursor Valley Dark Cave - Entrance,![Precursor Valley Dark Cave - Entrance](https://static.wikia.nocookie.net/nexomon/images/d/d9/Precursor_Valley_Dark_Cave_-_Entrance.png/revision/latest/smart/width/40/height/30?cb=20240327184147)
Precursor Valley Dark Cave - Laboratory,![Precursor Valley Dark Cave - Laboratory](https://static.wikia.nocookie.net/nexomon/images/e/e4/Precursor_Valley_Dark_Cave_-_Laboratory.png/revision/latest/smart/width/40/height/30?cb=20240327184228)
Precursor Valley Dark Cave - North,![Precursor Valley Dark Cave - North](https://static.wikia.nocookie.net/nexomon/images/e/e8/Precursor_Valley_Dark_Cave_-_North.png/revision/latest/smart/width/40/height/30?cb=20240327184203)
Precursor Valley Dark Cave - West,![Precursor Valley Dark Cave - West](https://static.wikia.nocookie.net/nexomon/images/e/ef/Precursor_Valley_Dark_Cave_-_West.png/revision/latest/smart/width/40/height/30?cb=20240327184216)
Precursor Valley Dark Cave Outside,![Precursor Valley Dark Cave Outside](https://static.wikia.nocookie.net/nexomon/images/3/3b/Precursor_Valley_Dark_Cave_Outside.png/revision/latest/smart/width/40/height/30?cb=20240327184131)
Precursor Valley Dark Maze,![Precursor Valley Dark Maze](https://static.wikia.nocookie.net/nexomon/images/c/c2/Precursor_Valley_Dark_Maze.png/revision/latest/smart/width/40/height/30?cb=20240327185542)
Precursor Valley End,![Precursor Valley End](https://static.wikia.nocookie.net/nexomon/images/2/2f/Precursor_Valley_End.png/revision/latest/smart/width/40/height/30?cb=20240327185523)
Precursor Valley Engraved Stones,![Precursor Valley Engraved Stones](https://static.wikia.nocookie.net/nexomon/images/2/29/Precursor_Valley_Engraved_Stones.png/revision/latest/smart/width/40/height/30?cb=20240327184300)
Precursor Valley Engraved Stones South,![Precursor Valley Engraved Stones South](https://static.wikia.nocookie.net/nexomon/images/d/d1/Precursor_Valley_Engraved_Stones_South.png/revision/latest/smart/width/40/height/30?cb=20240327184244)
Precursor Valley Engraved Stones West,![Precursor Valley Engraved Stones West](https://static.wikia.nocookie.net/nexomon/images/f/f9/Precursor_Valley_Engraved_Stones_West.png/revision/latest/smart/width/40/height/30?cb=20240327184347)
Precursor Valley Forest Entrance,![Precursor Valley Forest Entrance](https://static.wikia.nocookie.net/nexomon/images/8/8c/Precursor_Valley_Forest_Entrance.png/revision/latest/smart/width/40/height/30?cb=20240327183418)
Precursor Valley Forest North,![Precursor Valley Forest North](https://static.wikia.nocookie.net/nexomon/images/e/ef/Precursor_Valley_Forest_North.png/revision/latest/smart/width/40/height/30?cb=20240327183432)
Precursor Valley Giant Pot,![Precursor Valley Giant Pot](https://static.wikia.nocookie.net/nexomon/images/e/ed/Precursor_Valley_Giant_Pot.png/revision/latest/smart/width/40/height/30?cb=20240327185628)
Precursor Valley Hot Cave - Braccus' Location,![Precursor Valley Hot Cave - Braccus' Location](https://static.wikia.nocookie.net/nexomon/images/2/2e/Precursor_Valley_Hot_Cave_-_Braccus%27_Location.png/revision/latest/smart/width/40/height/30?cb=20240327184813)
Precursor Valley Hot Cave - Braccus' Path,![Precursor Valley Hot Cave - Braccus' Path](https://static.wikia.nocookie.net/nexomon/images/c/c0/Precursor_Valley_Hot_Cave_-_Braccus%27_Path.png/revision/latest/smart/width/40/height/30?cb=20240327184801)
Precursor Valley Hot Cave - Middle Path,![Precursor Valley Hot Cave - Middle Path](https://static.wikia.nocookie.net/nexomon/images/d/db/Precursor_Valley_Hot_Cave_-_Middle_Path.png/revision/latest/smart/width/40/height/30?cb=20240327184731)
Precursor Valley Hot Cave - Northern Entrance,![Precursor Valley Hot Cave - Northern Entrance](https://static.wikia.nocookie.net/nexomon/images/5/5e/Precursor_Valley_Hot_Cave_-_Northern_Entrance.png/revision/latest/smart/width/40/height/30?cb=20240327184744)
Precursor Valley Hot Cave - Southern Entrance,![Precursor Valley Hot Cave - Southern Entrance](https://static.wikia.nocookie.net/nexomon/images/f/f3/Precursor_Valley_Hot_Cave_-_Southern_Entrance.png/revision/latest/smart/width/40/height/30?cb=20240327184718)
Precursor Valley Hot Cave Outside,![Precursor Valley Hot Cave Outside](https://static.wikia.nocookie.net/nexomon/images/e/ef/Precursor_Valley_Hot_Cave_Outside.png/revision/latest/smart/width/40/height/30?cb=20240327184406)
Precursor Valley Landing Spot,![Precursor Valley Landing Spot](https://static.wikia.nocookie.net/nexomon/images/a/ad/Precursor_Valley_Landing_Spot.png/revision/latest/smart/width/40/height/30?cb=20240327185132)
Precursor Valley Logan's Laboratory,![Precursor Valley Logan's Laboratory](https://static.wikia.nocookie.net/nexomon/images/8/83/Precursor_Valley_Logan%27s_Laboratory.png/revision/latest/smart/width/40/height/30?cb=20240327185305)
Precursor Valley Logan's Laboratory Outside,![Precursor Valley Logan's Laboratory Outside](https://static.wikia.nocookie.net/nexomon/images/a/a2/Precursor_Valley_Logan%27s_Laboratory_Outside.png/revision/latest/smart/width/40/height/30?cb=20240327185255)
Precursor Valley Lost Map Piece,![Precursor Valley Lost Map Piece](https://static.wikia.nocookie.net/nexomon/images/d/d3/Precursor_Valley_Lost_Map_Piece.png/revision/latest/smart/width/40/height/30?cb=20240327184829)
Precursor Valley Map,![Precursor Valley Map](https://static.wikia.nocookie.net/nexomon/images/2/29/Precursor_Valley_Map.png/revision/latest/smart/width/40/height/30?cb=20240327185211)
Precursor Valley Map South,![Precursor Valley Map South](https://static.wikia.nocookie.net/nexomon/images/4/47/Precursor_Valley_Map_South.png/revision/latest/smart/width/40/height/30?cb=20240327185158)
Precursor Valley Pattern Maze,![Precursor Valley Pattern Maze](https://static.wikia.nocookie.net/nexomon/images/6/67/Logan%27s_Lab_Map.jpg/revision/latest/smart/width/40/height/30?cb=20240327144408)
Precursor Valley Pattern Maze Camp,![Precursor Valley Pattern Maze Camp](https://static.wikia.nocookie.net/nexomon/images/c/c1/Precursor_Valley_Pattern_Maze_Camp.png/revision/latest/smart/width/40/height/30?cb=20240327185225)
Precursor Valley Shortcut Guy,![Precursor Valley Shortcut Guy](https://static.wikia.nocookie.net/nexomon/images/8/82/Precursor_Valley_Shortcut_Guy.png/revision/latest/smart/width/40/height/30?cb=20240327184844)
Prison Bridge,![Prison Bridge](https://static.wikia.nocookie.net/nexomon/images/5/55/Prison_Bridge.png/revision/latest/smart/width/40/height/30?cb=20240919145331)
